,RabbiID,FullName,City,Country,Period,YearOfBirth,YearOfDeath,KnownFor,Notes,Sources,PlaceOfBirth,PlaceOfPtira,knownAs,ImageUrl,YoBHebrew,YoPHebrew
281,10281,רבי יוסף בן שלמה מקושטא,קושטא,ביזנטיון,המאה ה-14,0,0,דיין ורב קהילה,נזכר בין ראשי הקהל,EJ,,,               ,NULL,       ,       
202,10202,רבי יוסף בן שם־טוב,סרגוסה,אראגון,המאה ה-14,0,0,פילוסוף ומקובל,אחד מבני משפחת שם־טוב הידועה,JE,,,               ,NULL,       ,       
375,10375,רבי יוסף בן שמואל מצור,צור,סוריה,המאה ה-14,0,0,חכם ופוסק,נזכר בכתבים לבנוניים־סוריים,JE,,,               ,NULL,       ,       
325,10325,רבי יוסף הכהן מפוסטאט,קהיר,מצרים,המאה ה-14,0,0,חכם מקומי,נזכר בפנקסי הגניזה,NLI,,,               ,NULL,       ,       
353,10353,רבי יוסף הכהן מצפת,צפת,ארץ ישראל,המאה ה-14,0,0,חכם ידוע,מוזכר במקורות ימי הממלוכים,JE,,,               ,NULL,       ,       
15,10015,רבי יוסף טוב עלם  הצרפתי,לימוז׳,צרפת,המאה ה-11,1010,1070,"מגדולי חכמי צרפת; מורה דרכו של רש""י הצעיר","מכונה ""טוב עלם"" בשל גודל חכמתו; עסק בפיוט ובפסיקה",ספר התשב״ץ; הקדמות רש״י,לימוז׳,לימוז׳,               ,NULL,       ,       
385,10385,רבי יוסף מבאצרה,באצרה,בבל,המאה ה-14,0,0,פוסק מבאצרה,מוזכר בכתבים עיראקיים,NLI,,,               ,NULL,       ,       
648,10648,רבי יחיאל מפאריס,פאריס,צרפת,בעלי התוספות,1210,1286,ראש ישיבת פאריס; עלה לארץ ישראל,,,פאריס,ארץ ישראל,               ,,       ,       
253,10253,רבי יחיאל מרומא,רומא,איטליה,המאה ה-14,0,0,דיין,מוזכר במסמכי בתי הדין של רומא,NLI,,,               ,NULL,       ,       
195,10195,רבי יעקב אבן שאשת,קסטיליה,קסטיליה,המאה ה-14,0,0,חכם קסטיליאני,מוזכר בין דייני קסטיליה,EJ,,,               ,NULL,       ,       
368,10368,רבי יעקב אלחכם החלאבי,חלב,סוריה,המאה ה-14,0,0,דיין,נזכר במסמכים הלכתיים מחלב,NLI,,,               ,NULL,       ,       
315,10315,רבי יעקב בוכבוט מתוניס,תוניס,תוניס,המאה ה-14,0,0,דיין,מתועד בפנקסי הדיינים בתוניס,EJ,,,               ,NULL,       ,       
301,10301,רבי יעקב בירב (הראשון),פאס,מרוקו,המאה ה-14,0,0,חכם ורב,חי בפאס ובתלמסאן,EJ,,,               ,NULL,       ,       
241,10241,רבי יעקב בן אליעזר מרומא,רומא,איטליה,המאה ה-14,0,0,פוסק מקומי,מתועד במחקר על יהדות רומא,EJ,,,               ,NULL,       ,       
86,10086,רבי יעקב בן אשר,טולדו,ספרד,המאה ה14,1269,1343,"בן הרא""ש",,,,גרמניה,בעל הטורים,/img/BaalHaTurim.jpg,,
235,10235,רבי יעקב בן דוד מארלס,ארלס,פרובאנס,המאה ה-14,0,0,ראש קהל ארלס,מתועד היטב במסמכי הקהילה,EJ,,,               ,NULL,       ,       
264,10264,רבי יעקב בן יהודה מרגנשבורג,רגנשבורג,אשכנז,המאה ה-14,0,0,דיין ופוסק,מוזכר בפנקסי רגנסבורג,NLI,,,               ,NULL,       ,       
229,10229,רבי יעקב בן יואל ממונפלייה,מונפלייה,פרובאנס,המאה ה-14,0,0,פוסק ורופא,מוזכר בפנקסי העיר,EJ,,,               ,NULL,       ,       
17,10017,רבי יעקב בן יקר,מגנצא,גרמניה,המאה ה-11,990,1064,"מורהו הישיר של רש""י","חברו הקרוב של רבי יצחק הלוי; נחשב המפרש הראשון בשיטת לימוד רש""י ספר היוחסין; הקדמת רש״י על מסכת ברכות",,מגנצא,מגנצא,               ,NULL,       ,       
644,10644,רבי יעקב בן מאיר,ריימס,צרפת,בעלי התוספות,1100,1171,מגדולי בעלי התוספות,", ספר הישר לרבנו תם; ספר הקבלה לרבי אברהם בן דוד",,ריימס,ריימס,רבנו תם,,       ,       
220,10220,רבי יעקב בן מחסיר,פרפיניאן,פרובאנס,המאה ה-14,0,0,חכם פרובנסלי,מוזכר בפנקסי פרפיניאן,JE,,,               ,NULL,       ,       
383,10383,רבי יעקב בן מסעוד הבגדדי,בגדד,בבל,המאה ה-14,0,0,מזכיר קהילה ומורה הוראה,מוזכר בפנקסי הקהילה,JE,,,               ,NULL,       ,       
336,10336,רבי יעקב בן נסים מדמיאט,דמיאט,מצרים,המאה ה-14,0,0,מורה הוראה,חכם ידוע בדמיאט,EJ,,,               ,NULL,       ,       
616,10616,רבי יעקב בן סעדון,אלג׳יר,אלג׳יריה,המאה ה-14,1320,1390,מחכמי אלג׳יר; שייך לדור הרשב״ץ והריב״ש,נזכר בספרות ההלכה הצפון־אפריקאית.,EJ,אלג׳יר,אלג׳יר,               ,NULL,       ,       
311,10311,רבי יעקב בן סעדון מתלמסאן,תלמסאן,אלג׳יר,המאה ה-14,0,0,פוסק ומורה הוראה,חכם ידוע בקהילה,NLI,,,               ,NULL,       ,       
211,10211,רבי יעקב בן סעדיה מוולנסיה,ולנסיה,ספרד,המאה ה-14,0,0,חכם מקומי,נזכר בין פוסקי ולנסיה,NLI,,,               ,NULL,       ,       
276,10276,רבי יעקב בן קלונימוס מוורמס,וורמייזא,אשכנז,המאה ה-14,0,0,ממשפחת קלונימוס,חלק משושלת הפוסקים בוורמס,EJ,,,               ,NULL,       ,       
361,10361,רבי יעקב בן שלמה מדמשק,דמשק,סוריה,המאה ה-14,0,0,מעתיק כתבי יד,חתימותיו ניכרות בכ״י דמשקאיים,EJ,,,               ,NULL,       ,       
320,10320,רבי יעקב בן שמואל הכהן,קהיר,מצרים,המאה ה-14,0,0,חכם ודיין,מוזכר בתעודות משפטיות של קהיר,JE,,,               ,NULL,       ,       
389,10389,רבי יעקב בן שמואל ממוסול,מוסול,בבל,המאה ה-14,0,0,דיין,נזכר במסמכים מן התקופה,JE,,,               ,NULL,       ,       
356,10356,רבי יעקב הכהן מטבריה,טבריה,ארץ ישראל,המאה ה-14,0,0,חכם מקומי,מוזכר במסמכי הקהל,JE,,,               ,NULL,       ,       
285,10285,רבי יעקב מסלוניקי,סלוניקי,ביזנטיון,המאה ה-14,0,0,דיין ומעתיק כתבי־יד,מסמכי סלוניקי מציינים את פעולתו,NLI,,,               ,NULL,       ,       
349,10349,רבי יעקב מעכו,עכו,ארץ ישראל,המאה ה-14,0,0,תלמיד מסורת הרמב״ן,נזכר במקורות גליליים,NLI,,,               ,NULL,       ,       
292,10292,רבי יעקב מרודוס,רודוס,ביזנטיון,המאה ה-14,0,0,פוסק באי רודוס,מנהיג רוחני מתועד,JE,,,               ,NULL,       ,       
217,10217,רבי יעקב סואסו,טולדו,קסטיליה,המאה ה-14,0,0,חכם ספרדי,אבי שושלת סואסו,NLI,,,               ,NULL,       ,       
199,10199,רבי יעקב קאנפנטון הזקן,זמורָה,קסטיליה,המאה ה-14,0,0,מראשי קהילת קסטיליה,סבו של רבי יצחק קנפנטון,JE,,,               ,NULL,       ,       
5,10005,רבי יצחק אבן גיאת,לוצנה,ספרד,המאה ה-11,1030,1089,ראש ישיבת לוצ׳נה ופוסק חשוב; מחבר פיוטים רבים,"מורהו של הרמב""ם הצעיר; בעל ""שערי שמחה""",ספר השטרות; פיוטי יצחק אבן גיאת,לוצ׳נה,לוצ׳נה,רבי שמואל הנגיד,NULL,       ,       
331,10331,רבי יצחק אלכסנדרוני,אלכסנדריה,מצרים,המאה ה-14,0,0,דיין ומורה הוראה,נזכר במסמכי הקהילה,NLI,,,               ,NULL,       ,       
29,10029,רבי יצחק אלפסי,לוצנה,ספרד,המאה ה-11,1013,1103,"מחבר ""הלכות הרי״ף""; מראשי ההלכה הספרדית ומבשר הרמב""ם","למד תורה במגרב, היגר לספרד לאחר רדיפות וייסד בה ישיבה גדולה; נחשב עמוד הפסק של ההלכה הספרדית","ספר הקבלה; הקדמת הרי״ף; סה""ד; מבואי הרמב״ם",פאס,אליסאנה,"הרי""ף",NULL,       ,       
60,10060,רבי יצחק בן אבא מארי,מרסיי,פרובנס,המאה ה-12,1120,1190,מחבר ספר העיטור; מקיף הלכות מעשיות ומנהגים,"חי בפרובנס, מושפע מן הספרדים אך שומר על סגנון עצמאי; בן דורו של הראב״ד והמאור","סה""ד; ספר העיטור; מבוא רבי יצחק למורה נבוכים",מרסיי,מרסיי,בעל העיטור     ,NULL,       ,       
80,10080,רבי יצחק בן אברהם,צרפת,צרפת,המאה ה-13,1200,1270,בעל תוספות הריצב״א; אחד מבעלי התוספות הגדולים,"תלמיד הרשב״א לפי מסורות, ותלמיד תלמידי רש״י; נודע בחידושי ההלכה המדויקים שלו","תוספות הריצב״א; סה""ד",צרפת,צרפת,הריצב״א,NULL,       ,       
363,10363,רבי יצחק בן אברהם הדמשקאי,דמשק,סוריה,המאה ה-14,0,0,פוסק ומגיד שיעור,מופיע במסמכי הלכה מקומיים,JE,,,               ,NULL,       ,       
14,10014,רבי יצחק בן אליהו משפיירא,שפיירא,גרמניה,המאה ה-11,990,1065,"ראש ישיבת שפיירא, פוסק ומנהיג קהילה",חברו ועמיתו של רב יעקב בן יקר,ספר הקבלה; תולדות רבני אשכנז,שפיירא,שפיירא,               ,NULL,       ,       
274,10274,רבי יצחק בן אליעזר מרגנשבורג,רגנשבורג,אשכנז,המאה ה-14,0,0,דיין,מוזכר במסמכי רגנסבורג,EJ,,,               ,NULL,       ,       
246,10246,רבי יצחק בן אמנון מפירנצה,פירנצה,איטליה,המאה ה-14,0,0,מורה ורב קהילה,מתועד בהיסטוריה יהודית של פירנצה,EJ,,,               ,NULL,       ,       
646,10646,רבי יצחק בן אשר הלוי,מגנצא,גרמניה,בעלי התוספות,1105,1175,,,,מגנצא,מגנצא,               ,,       ,       
25,10025,רבי יצחק בן ברוך אבן אלבאליה,גרנדה,ספרד,המאה ה-11,1013,1089,מגדולי פוסקי ספרד ומראשי ישיבת גרנדה,עסק בהנהגה מדינית וציבורית לצד רב שמואל הנגיד; אביו של רבי ברוך אלבאליה,ספר הקבלה לראב״ד; דברי הימים לרשד״ל,טולדו,גרנדה,               ,NULL,       ,       
18,10018,רבי יצחק בן יהודה,מגנצא,גרמניה,המאה ה-11,995,1060,"מגדולי חכמי אשכנז בדור שלפני רש""י",נודע בענוותו ובקפדנותו בלימוד,"אוה""ג; ספר הדורות",מגנצא,מגנצא,               ,NULL,       ,       
27,10027,רבי יצחק בן יעקב אל ברגלוני,ברצלונה,ספרד,המאה ה-11,1020,1080,מגדולי חכמי קטלוניה הראשונים; פירושיו השפיעו על ראשוני ספרד,נחשב מגדולי מפרשי המקרא בדורו; שמו נודע בין חכמי פרובנס וקטלוניה,"סה""ד; אנציקלופדיה יהודית",ברצלונה,ברצלונה,               ,NULL,       ,       
44,10044,רבי יצחק בן מאיר,ריימס,צרפת,המאה ה-12,1090,1170,אחיו של הרשב״ם; מאבות בעלי התוספות,רבו של רבנו תם ורבי יצחק הזקן,"סה""ד; תוספות פסחים דף ג׳",ריימס,ריימס,"הריב""ם         ",NULL,       ,       
84,10084,רבי יצחק בן משה,וינה,אשכנז,המאה ה-13,1180,1250,"פוסק, תלמיד מהר״ם מרוטנבורג; מחבר ספר אור זרוע",אחד מאבות ההלכה באשכנז המאוחרת; השפיע על הרא״ש והטור,"ספר אור זרוע; סה""ד; ס""י",בוהמיה,וינה,האור זרוע,/imgOrZarua.jpg,       ,       
28,10028,רבי יצחק בן משה מבגדד,בגדד,עיראק,המאה ה-11,1000,1070,חכם בבלי שביקש לשמר את תורת הגאונים במזרח,מוזכר כמורה לרבי יצחק אלפסי; אחד האחרונים בשרשרת הישיבות הבבליות,"ספר הקבלה לראב״ד; סה""ד",בגדד,בגדד,               ,NULL,       ,       
268,10268,רבי יצחק בן משה מווינה,וינה,אשכנז,המאה ה-14,0,0,"מחבר ""אור זרוע""",השפיע על כל פסיקת אשכנז במאה הי״ד,EJ,,,אור זרוע       ,NULL,       ,       
257,10257,רבי יצחק בן מתתיה מפורלי,פורלי,איטליה,המאה ה-14,0,0,רופא וחכם קהילה,מופיע ברשומות הרפואיות היהודיות,JE,,,               ,NULL,       ,       
221,10221,רבי יצחק בן ראובן מנרבונה,נרבונה,פרובאנס,המאה ה-14,0,0,דיין וחכם,מוזכר במסמכי נרבונה,EJ,,,               ,NULL,       ,       
63,10063,רבי יצחק בן רש״י,טרואה,צרפת,המאה ה-11,1075,1135,בנו הצעיר של רש״י; ממעתיקי תורת אביו,אביהם של הרשב״ם ורבנו תם; המשיך את בית המדרש של רש״י,"סה""ד; ספר היוחסין",טרואה,טרואה,               ,NULL,       ,       
206,10206,רבי יצחק בן שם־טוב,סרגוסה,אראגון,המאה ה-14,0,0,מחכמי אראגון,member of the Ben Shm-Tov family,JE,,,               ,NULL,       ,       
46,10046,רבי יצחק בן שמואל,דמפייר,צרפת,המאה ה-12,1115,1184,מגדולי בעלי התוספות; רבו של ר״א מגרמייזא,תלמיד רבנו תם והריב״ם,תוספות סנהדרין דף י״א; ספר היראים,דמפייר,דמפייר,ר״י הזקן       ,NULL,       ,       
341,10341,רבי יצחק בן שמואל הירושלמי,ירושלים,ארץ ישראל,המאה ה-14,0,0,מגיד שיעור ומורה הוראה,מוזכר במסמכים הקהילתיים,EJ,,,               ,NULL,       ,       
372,10372,רבי יצחק בן שמואל מחמה,חמה,סוריה,המאה ה-14,0,0,דיין,תיעוד מן התקופה מציין את שמו,JE,,,               ,NULL,       ,       
300,10300,רבי יצחק בן ששת,אלג׳יר,אלג׳יר,המאה ה-14,1326,1408,מגדולי הפוסקים בצפון אפריקה,פסקיו נחשבים יסודיים עד היום,JE,,,הריב״ש         ,NULL,       ,       
511,10511,רבי יצחק בן ששת דוראן,אלג׳יר,אלג׳יר,המאה ה-14,1326,1408,פוסק גדול ומנהיג יהדות אלג׳יר; מחבר תשובות הריב״ש,נולד בברצלונה וברח בעקבות גזירות קנ״א. התיישב באלג׳יר והפך לאחד מגדולי הפוסקים. השפיע רבות על הרשב״ץ ובני דוראן.,EJ; JE; תשובות הריב״ש,ברצלונה,אלג׳יר,הריב״ש         ,NULL,       ,       
335,10335,רבי יצחק דמיאטי,דמיאט,מצרים,המאה ה-14,0,0,דיין,מופיע במסמכי קהילת דמיאט,JE,,,               ,NULL,       ,       
321,10321,רבי יצחק הכהן המצרי,קהיר,מצרים,המאה ה-14,0,0,דיין,מתועד במסמכי הגניזה,EJ,,,               ,NULL,       ,       
234,10234,רבי יצחק הכהן מארלס,ארלס,פרובאנס,המאה ה-14,0,0,דיין וחכם,מוזכר בפנקסי ארלס,JE,,,               ,NULL,       ,       
19,10019,רבי יצחק הלוי ממגנמא,מגנצא,גרמניה,המאה ה-11,1000,1070,"מראשי ישיבת מגנצא; מורהו של רש""י",נמנה על גדולי דורו עם רב יעקב בן יקר ורב יוסף טוב עלם,תולדות רבני צרפת ואשכנז; ספר הקבלה לרמב״ן,מגנצא,מגנצא,               ,NULL,       ,       
387,10387,רבי יצחק מבאצרה,באצרה,בבל,המאה ה-14,0,0,דיין,מסמכי הקהל מאזכרים אותו,EJ,,,               ,NULL,       ,       
308,10308,רבי יצחק מנאימירא,קונסטנטין,אלג׳יר,המאה ה-14,0,0,דיין חשוב,מופיע בתעודות קונסטנטין,NLI,,,               ,NULL,       ,       
515,10515,רבי יצחק סגי נהור,ווה,צרפת,המאה ה-13,1160,1235,מקובל ,"בנו של הראב""ד",,,,"ריס""ן",/img/YitzhakSagiNahor.jpg,https://he.wikipedia.org/wiki/%D7%99%D7%A6%D7%97%D7%A7_%D7%A1%D7%92%D7%99_%D7%A0%D7%94%D7%95%D7%A8,
193,10193,רבי יצחק עראמה הזקן,טולדו,קסטיליה,המאה ה-14,0,0,חכם ספרדי,סבו של בעל העקידה; פעל בקסטיליה,EJ,,,               ,NULL,       ,       
307,10307,רבי יצחק צבעתי ממראקש,מראקש,מרוקו,המאה ה-14,0,0,פוסק מרוקאי,מקורות מקומיים מציינים את פעילותו,JE,,,               ,NULL,       ,       
280,10280,רבי יצחק קושטא בן אליהו,קושטא,ביזנטיון,המאה ה-14,0,0,דיין,מתועד בתעודות בית הדין בקושטא,JE,,,               ,NULL,       ,       
65,10065,רבי יקותיאל בן משה,צרפת,צרפת,המאה ה-11,1060,1120,תלמיד רש״י; נזכר במקורות כעוסק בהעתקת חידושיו,שימר את מסורת בית מדרשו של רש״י בדרום צרפת,"סה""ד; ס""י",צרפת,צרפת,"מלתמידי רש""י   ",NULL,       ,       
338,10338,רבי ישעיה הלוי הורוויץ הירושלמי,ירושלים,ארץ ישראל,המאה ה-14,0,0,ראש ישיבת ירושלים,מוזכר ברשומות תולדות ירושלים בימי הממלוכים,EJ,,,               ,NULL,       ,       
614,10614,רבי ישראל אשכנזי,גרמניה,אשכנז,המאה ה-14,1260,1320,מראשי חכמי אשכנז בדורו,נזכר כמורה בדור שלפני מהר״ם מרוטנבורג.,JE,גרמניה,גרמניה,               ,NULL,       ,       
239,10239,רבי יששכר בן מרדכי אנקוונה,אנקונה,איטליה,המאה ה-14,0,0,חכם ופוסק,מאושש במסמכי קהילת אנקונה,NLI,,,               ,NULL,       ,       
604,10604,רבי לוי בן גרשום ,פרפיניאן,פרובאנס,המאה ה-14,1288,1344,"פילוסוף, מתמטיקאי ומפרש",מחבר “מלחמות ה׳”; חכם רב־השפעה.,EJ,פרפיניאן,פרפיניאן,"הרלב""ג         ",NULL,       ,       
78,10078,רבי מאיר בן ברוך מרוטנבורג,רוטנבורג,אשכנז,המאה ה-13,1215,1293,"פוסק ומנהיג הדור; מחבר תשובות, פיוטים ותקנות קהילה",מנהיג יהדות אשכנז; תלמיד הרוקח ורבי יהודה החסיד; מורה לרבנו אשר (הרא״ש),"שו״ת מהר״ם מרוטנבורג; סה""ד; ס""י",ורמייזא,בכלא באנסיסהיים,מהר״ם מרוטנבורג,NULL,       ,       
256,10256,רבי מאיר בן יעקב מבולוניה,בולוניה,איטליה,המאה ה-14,0,0,דיין ודרשן,נזכר בתעודות העיר,EJ,,,               ,NULL,       ,       
636,10636,רבי מאיר בן רבי שלמה,קטלוניה,ספרד,המאה הי״ג–י״ד,0,0,"מתלמידי חכמי קטלוניה, בדורו של רבנו יונה",נזכר במקורות תלמידי בית מדרשו של רבנו יונה.,EJ,קטלוניה,קטלוניה,               ,NULL,       ,       
613,10613,רבי מאיר הכהן,אוסטריה,אשכנז,המאה ה-14,1270,1330,פוסק ותלמיד חכמי אשכנז,מוזכר כמורה לרבנים בדורו.,JE,אוסטריה,אוסטריה,מהר״ם כ״ץ      ,NULL,       ,       
259,10259,רבי מאיר מרוטנבורג,רוטנבורג,אשכנז,המאה ה-14,1215,1293,גדול פוסקי אשכנז,השפיע על כל יהדות אשכנז במאה הי״ד דרך תלמידיו,JE,,,מהר״ם מרוטנבורג,NULL,       ,       
282,10282,רבי מאיר קושטא,קושטא,ביזנטיון,המאה ה-14,0,0,דיין וראש ישיבה,חכם חשוב בקהילת קושטא,NLI,,,               ,NULL,       ,       
41,10041,רבי מימון בן יוסף נדיין,קורדובה,ספרד,המאה ה-12,1110,1170,דיין ומשורר; אביו ומורו של הרמב״ם,נמלט עם משפחתו מקורדובה לפאס עקב רדיפות האלמוואחידון; ייסד את בית המדרש שבו למד הרמב״ם את יסודות ההלכה הספרדית,"סה""ד; הקדמת הרמב״ם לפירוש המשנה; ס""י",קורדובה,פאס,"אבי הרמב""ם",NULL,       ,       
367,10367,רבי מנחם בן יוסף מארם צובא,חלב,סוריה,המאה ה-14,0,0,חכם מרכזי,מתועד בתולדות יהודי חלב,EJ,,,               ,NULL,       ,       
198,10198,רבי מנחם בן שלמה בן סרוק השני,פמפלוּנה,נווארה,המאה ה-14,0,0,חכם נווארי,נצר למשפחת בן סרוק,EJ,,,               ,NULL,       ,       
11,10011,רבי מנחם בן שלמה ממאירי,נרבונה,פרובנס,המאה ה-13,1249,1316,"מחבר ""מגן אבות"" על מסכת אבות",מהבולטים בחכמי פרובנס המאוחרים; ממשיך רוח הראשונים,מגן אבות; הקדמת הרמ״מ,נרבונה,נרבונה,המאירי         ,NULL,       ,       
240,10240,רבי מנחם בן שלמה מרומא,רומא,איטליה,המאה ה-14,0,0,דיין ורב קהילה,נזכר בפנקסי רומא,JE,,,               ,NULL,       ,       
273,10273,רבי מנחם בן שמואל מווינה,וינה,אשכנז,המאה ה-14,0,0,מעתיק ודרשן,מסמכים מווינה מתייחסים אליו,NLI,,,               ,NULL,       ,       
218,10218,רבי מנחם המאירי,פרפיניאן,פרובאנס,המאה ה-14,1249,1316,"פוסק, תלמודן ומפרש",מחכמי פרובאנס הבולטים; מחבר בית הבחירה,EJ,,,המאירי         ,NULL,       ,       
310,10310,רבי מסעוד בן זכרי,אלג׳יר,אלג׳יר,המאה ה-14,0,0,דיין,נזכר בספרות המשפטית של התקופה,JE,,,               ,NULL,       ,       
397,10397,רבי מרדכי בן אברהם מאנדיח׳נה,אנדיח׳נה,בבל,המאה ה-14,0,0,חכם ידוע באזור פרס־בבל,תעודות התקופה מזכירות אותו,NLI,,,               ,NULL,       ,       
612,10612,רבי מרדכי בן הלל (המרדכי),וורמייזא,אשכנז,המאה ה-14,1250,1298,"פוסק אשכנזי גדול; מחבר ""המרדכי""",נהרג על קידוש ה׳ בגזירות רינדפלייש.,EJ,וורמייזא,וורמייזא,               ,NULL,       ,       
303,10303,רבי משה אסכנדרני מפאס,פאס,מרוקו,המאה ה-14,0,0,דיין ומורה,מוזכר בתשובות הריב״ש,JE,,,               ,NULL,       ,       
288,10288,רבי משה בן אליהו מאדירנה,אדירנה,ביזנטיון,המאה ה-14,0,0,רב ודיין,מתועד ברשומות הקהילה האדריאנופולית,NLI,,,               ,NULL,       ,       
351,10351,רבי משה בן דוד מצפת,צפת,ארץ ישראל,המאה ה-14,0,0,מקובל מוקדם,מן הדמויות הצפתיות הקדומות,EJ,,,               ,NULL,       ,       
333,10333,רבי משה בן זכריה מדמיאט,דמיאט,מצרים,המאה ה-14,0,0,פוסק מקומי,מתועד בתעודות מקומיות,EJ,,,               ,NULL,       ,       
22,10022,רבי משה בן חנוך,קורדובה,ספרד,המאה ה-10,940,996,אבי תור הזהב הספרדי; מייסד ישיבת קורדובה,נשבה לספרד והפך לרב הראשי שם; אביו של רב חנוך בן משה,"ספר הקבלה; דברי הימים לרשד""ל",בבל,קורדובה,               ,NULL,       ,       
244,10244,רבי משה בן יוחנן היטליאני,פירנצה,איטליה,המאה ה-14,0,0,רופא ופוסק,נזכר בכתבים רפואיים יהודיים,JE,,,               ,NULL,       ,       
209,10209,רבי משה בן יחיאל מבורגוס,בורגוס,קסטיליה,המאה ה-14,0,0,פוסק קסטיליאני,מוזכר בפנקסי בורגוס,JE,,,               ,NULL,       ,       
275,10275,רבי משה בן יעקב מנירנברג,נירנברג,אשכנז,המאה ה-14,0,0,פוסק אשכנזי,ידוע מפנקסי הקהילה,JE,,,               ,NULL,       ,       
296,10296,רבי משה בן יצחק מיואנינה,יואנינה,ביזנטיון,המאה ה-14,0,0,ראש קהילה רומניוטית,מתועד בארכיוני יואנינה,EJ,,,               ,NULL,       ,       
53,10053,רבי משה בן מימון,קורדובה,מצרים,המאה ה-12,1135,1204,"מחבר משנה תורה ומורה נבוכים; גדול הפוסקים והפילוסופים, איגרות הרמב״ם; הקדמת היד החזקה",בן לרבי מימון הדיין; הושפע מתלמידי הרי״ף ,,קורדובה,פוסטאט,הרמב״ם         ,NULL,       ,       
54,10054,רבי משה בן נחמן,חרונה,ספרד,המאה ה-13,1194,1270,"פוסק, מקובל ופרשן התורה; מגן המסורת נגד הרמב״ם","עלה לארץ ישראל; חיבר פירוש לתורה, פירוש הרמב״ן; ויכוח ברצלונה",,חרונה,עכו,הרמב״ן         ,NULL,       ,       
326,10326,רבי משה בן נסים המצרי,קהיר,מצרים,המאה ה-14,0,0,מורה הוראה,מתועד בארכיוני הגניזה,JE,,,               ,NULL,       ,       
362,10362,רבי משה בן נתן מדמשק,דמשק,סוריה,המאה ה-14,0,0,ראש ישיבה,מתועד ברשומות החכמים של דמשק,NLI,,,               ,NULL,       ,       
70,10070,רבי משה בן קלונימוס ממגנצא,מגנצא,אשכנז,המאה ה-10,900,960,"מייסד ישיבת מגנצא באשכנז; חכם, משורר ומנהיג קהילה",ממקימי הקהילה האשכנזית הקדומה; ייסד את מסורת התפילה האשכנזית," סה""ד; מחזור ויטרי",מגנצא,מגנצא,               ,NULL,       ,       
32,10032,רבי משה בן קלונימוס מרומי,רומא,איטליה,המאה ה-09,880,950,מגדולי חכמי איטליה ומייסד משפחת קלונימוס,שימש גשר בין ישיבות איטליה ובבל; בניו היגרו לגרמניה והקימו בה את קהילות שו״ם,"ספר הקבלה לרמב״ן; סה""ד",רומא,רומא,               ,NULL,       ,       
68,10068,רבי משה בן קלונימוס מרומי,רומא,איטליה,המאה ה-09,820,880,אביה של שושלת קלונימוס; מעביר המסורת הבבלית לרומא ולגרמניה,נשלח לגרמניה לפי המסורת בבקשת הקיסר קרל הגדול; ייסד את ישיבת מגנצא,"סה""ד; ס""י; גרץ, דברי ימי ישראל",רומא,רומא,               ,NULL,       ,       
233,10233,רבי משה בן שלמה מטרווה,טרווה,פרובאנס,המאה ה-14,0,0,חכם ופוסק,נזכר בתעודות טרווה,NLI,,,               ,NULL,       ,       
205,10205,רבי משה בן שלמה מפלמה,פלמה,מיורקה,המאה ה-14,0,0,מורה הוראה במיורקה,נזכר בפנקסי האי,NLI,,,               ,NULL,       ,       
516,10516,רבי מנחם רקנאטי,רומא,איטליה,המאה ה-13,1250,1310,מראשוני המקובלים באיטליה,,,,,,,,
10,10010,רבי משה הדרשן,נרבונה,פרובנס,המאה ה-11,1020,1080,דרשן ובעל אסכולת מדרשים עתיקים,"ההשפעה על רש""י ועל תלמידיו",ספרי הדרש של רבי משה הדרשן,נרבונה,נרבונה,               ,NULL,       ,       
346,10346,רבי משה החברוני,חברון,ארץ ישראל,המאה ה-14,0,0,חכם מקומי,מופיע בתיעוד מן המאה ה-14,JE,,,               ,NULL,       ,       
339,10339,רבי משה הלוי הירושלמי,ירושלים,ארץ ישראל,המאה ה-14,0,0,דיין וראש קהילה,נזכר בפנקסי מס ירושלים,NLI,,,               ,NULL,       ,       
371,10371,רבי משה טריפוליטי,טריפולי,סוריה,המאה ה-14,0,0,חכם ודיין,נזכר במסמכים משפטיים מקומיים,NLI,,,               ,NULL,       ,       
510,10510,רבי ניסים בן ראובן גירונדי,ברצלונה,קטלוניה,המאה ה-14,1310,1375,מגדולי פוסקי ספרד ופרשני התלמוד; מחבר דרשות הר״ן ותשובות הר״ן,"נולד בגירונה ופעל רוב שנותיו בברצלונה. היה מגדולי תלמידי הרשב״א וממנהיגי הקהילות בקטלוניה. ראש ישיבה, דיין ומורה הוראה משפיע.",EJ; JE; דרשות הר״ן; תשובות הר״ן,גירונה,ברצלונה,הר״ן           ,NULL,       ,       
224,10224,רבי ניסים בן שלמה מנרבונה,נרבונה,פרובאנס,המאה ה-14,0,0,מגדולי נרבון,אחד מחשובי בית הדין המקומי,JE,,,               ,NULL,       ,       
23,10023,רבי נתן בן חנוך,פאס,מרוקו,המאה ה-10,940,990,מן השבויים שעלו לפאס והקימו מרכז תורה שם,ייתכן שהיה מקרוביו של רבי משה בן חנוך; הניח יסוד ללימוד התורה במערב,"סה""ד; ספר הקבלה לראב״ד",בבל,פאס,               ,NULL,       ,       
245,10245,רבי נתן בן יואל מרג׳ו אמיליה,רג׳ו,איטליה,המאה ה-14,0,0,חכם מקומי,מתועד בארכיוני רג׳ו אמיליה,NLI,,,               ,NULL,       ,       
